Feature,label,P_Value,Normality
tf_Gabor_0.05A1.57min,0,0.01261059728813651,Abnormal
tf_Gabor_0.05A1.57min,1,0.01955887931145897,Abnormal
tf_Gabor_0.05A1.57skew,0,0.009905694934820273,Abnormal
tf_Gabor_0.05A1.57skew,1,0.06442074195143242,Normal
tf_Gabor_0.05A1.57std,0,0.002509527337008377,Abnormal
tf_Gabor_0.05A1.57std,1,0.8108865765877793,Normal
tf_Gabor_0.05A2.36kurt,0,9.169447292771732e-06,Abnormal
tf_Gabor_0.05A2.36kurt,1,0.04537185660303777,Abnormal
tf_Gabor_0.05A2.36max,0,7.17272526927059e-06,Abnormal
tf_Gabor_0.05A2.36max,1,0.19798547996398747,Normal
tf_Gabor_0.05A2.36mean,0,6.955015866706807e-05,Abnormal
tf_Gabor_0.05A2.36mean,1,0.0017204297541212451,Abnormal
tf_Gabor_0.05A2.36min,0,0.0015321011989270171,Abnormal
tf_Gabor_0.05A2.36min,1,0.004515207032384301,Abnormal
tf_Gabor_0.05A2.36skew,0,1.2474203998349428e-05,Abnormal
tf_Gabor_0.05A2.36skew,1,0.0010716885445911637,Abnormal
tf_Gabor_0.05A2.36std,0,0.00650265299783406,Abnormal
tf_Gabor_0.05A2.36std,1,0.6841977072994736,Normal
tf_Gabor_0.2A0.0kurt,0,0.008501490737188663,Abnormal
tf_Gabor_0.2A0.0kurt,1,0.7617422547313857,Normal
tf_Gabor_0.2A0.0max,0,0.12774098389925947,Normal
tf_Gabor_0.2A0.0max,1,0.43465926773167013,Normal
tf_Gabor_0.2A0.0mean,0,0.570080160039191,Normal
tf_Gabor_0.2A0.0mean,1,0.011172550772762623,Abnormal
tf_Gabor_0.2A0.0min,0,0.07009674176485829,Normal
tf_Gabor_0.2A0.0min,1,0.24264835495042186,Normal
tf_Gabor_0.2A0.0skew,0,0.12855838748441,Normal
tf_Gabor_0.2A0.0skew,1,0.00021436746128105128,Abnormal
tf_Gabor_0.2A0.0std,0,0.7690374809999372,Normal
tf_Gabor_0.2A0.0std,1,0.36142205352998225,Normal
tf_Gabor_0.2A0.79kurt,0,3.5223143923495845e-09,Abnormal
tf_Gabor_0.2A0.79kurt,1,0.0007175457403150254,Abnormal
tf_Gabor_0.2A0.79max,0,3.185101575436145e-08,Abnormal
tf_Gabor_0.2A0.79max,1,0.014801487167010248,Abnormal
tf_Gabor_0.2A0.79mean,0,1.1128925976005806e-06,Abnormal
tf_Gabor_0.2A0.79mean,1,0.02287140641515032,Abnormal
tf_Gabor_0.2A0.79min,0,0.002773659150917364,Abnormal
tf_Gabor_0.2A0.79min,1,0.00011059166173980026,Abnormal
tf_Gabor_0.2A0.79skew,0,4.624314232978327e-08,Abnormal
tf_Gabor_0.2A0.79skew,1,8.062791995535744e-05,Abnormal
tf_Gabor_0.2A0.79std,0,0.16719449967042593,Normal
tf_Gabor_0.2A0.79std,1,0.04273677844987325,Abnormal
tf_Gabor_0.2A1.57kurt,0,0.004589965320626751,Abnormal
tf_Gabor_0.2A1.57kurt,1,0.7008808264867532,Normal
tf_Gabor_0.2A1.57max,0,0.9277273221673372,Normal
tf_Gabor_0.2A1.57max,1,0.8624249292852011,Normal
tf_Gabor_0.2A1.57mean,0,0.7721668539845428,Normal
tf_Gabor_0.2A1.57mean,1,0.6844055893687773,Normal
tf_Gabor_0.2A1.57min,0,0.8754206537076102,Normal
tf_Gabor_0.2A1.57min,1,0.04958676982955485,Abnormal
tf_Gabor_0.2A1.57skew,0,0.00667401959278312,Abnormal
tf_Gabor_0.2A1.57skew,1,0.07933686711737568,Normal
tf_Gabor_0.2A1.57std,0,0.1689942739291974,Normal
tf_Gabor_0.2A1.57std,1,0.7987915799689523,Normal
tf_Gabor_0.2A2.36kurt,0,3.1436924966706515e-05,Abnormal
tf_Gabor_0.2A2.36kurt,1,0.015336091453131032,Abnormal
tf_Gabor_0.2A2.36max,0,1.2828262181510347e-06,Abnormal
tf_Gabor_0.2A2.36max,1,0.008548470485933553,Abnormal
tf_Gabor_0.2A2.36mean,0,0.004829329754511278,Abnormal
tf_Gabor_0.2A2.36mean,1,0.012973928849753387,Abnormal
tf_Gabor_0.2A2.36min,0,6.623422030718674e-07,Abnormal
tf_Gabor_0.2A2.36min,1,0.0015659640046144744,Abnormal
tf_Gabor_0.2A2.36skew,0,7.738585131290237e-06,Abnormal
tf_Gabor_0.2A2.36skew,1,0.0004758875088519219,Abnormal
tf_Gabor_0.2A2.36std,0,0.04718212341440407,Abnormal
tf_Gabor_0.2A2.36std,1,0.5488599580668945,Normal
tf_Gabor_0.5A0.0kurt,0,0.1301763797165379,Normal
tf_Gabor_0.5A0.0kurt,1,1.4952352343158083e-05,Abnormal
tf_Gabor_0.5A0.0max,0,0.06675337611784053,Normal
tf_Gabor_0.5A0.0max,1,0.2456401170243026,Normal
tf_Gabor_0.5A0.0mean,0,0.00036787431388146647,Abnormal
tf_Gabor_0.5A0.0mean,1,0.9612157351086282,Normal
tf_Gabor_0.5A0.0min,0,0.11237017558323398,Normal
tf_Gabor_0.5A0.0min,1,0.7656389419650489,Normal
tf_Gabor_0.5A0.0skew,0,0.07144750004316368,Normal
tf_Gabor_0.5A0.0skew,1,0.8914236844900132,Normal
tf_Gabor_0.5A0.0std,0,0.004648979851950319,Abnormal
tf_Gabor_0.5A0.0std,1,0.09554049647438523,Normal
tf_Gabor_0.5A0.79kurt,0,0.10621650564323898,Normal
tf_Gabor_0.5A0.79kurt,1,0.08941282757421269,Normal
tf_Gabor_0.5A0.79max,0,0.034890327705524284,Abnormal
tf_Gabor_0.5A0.79max,1,0.13143665087974915,Normal
tf_Gabor_0.5A0.79mean,0,0.258298904413788,Normal
tf_Gabor_0.5A0.79mean,1,0.501280271831836,Normal
tf_Gabor_0.5A0.79min,0,0.8464387405174063,Normal
tf_Gabor_0.5A0.79min,1,0.29456933831226173,Normal
tf_Gabor_0.5A0.79skew,0,0.8148197299852287,Normal
tf_Gabor_0.5A0.79skew,1,0.08667987824950116,Normal
tf_Gabor_0.5A0.79std,0,0.051710491320184286,Normal
tf_Gabor_0.5A0.79std,1,0.8266176512582768,Normal
tf_Gabor_0.5A1.57kurt,0,4.326017950246161e-05,Abnormal
tf_Gabor_0.5A1.57kurt,1,8.360837279108967e-07,Abnormal
tf_Gabor_0.5A1.57max,0,8.42293752847848e-09,Abnormal
tf_Gabor_0.5A1.57max,1,3.2111325801193373e-06,Abnormal
tf_Gabor_0.5A1.57mean,0,8.407150914340466e-11,Abnormal
tf_Gabor_0.5A1.57mean,1,1.6404165720453084e-06,Abnormal
tf_Gabor_0.5A1.57min,0,5.12135066636828e-07,Abnormal
tf_Gabor_0.5A1.57min,1,0.0004414360181643094,Abnormal
tf_Gabor_0.5A1.57skew,0,0.0017219857746165455,Abnormal
tf_Gabor_0.5A1.57skew,1,5.549989924914127e-06,Abnormal
tf_Gabor_0.5A1.57std,0,7.515288461432197e-10,Abnormal
tf_Gabor_0.5A1.57std,1,5.974208375258061e-07,Abnormal
tf_Gabor_0.5A2.36kurt,0,2.8650699439631154e-05,Abnormal
tf_Gabor_0.5A2.36kurt,1,0.00022492815929536398,Abnormal
tf_Gabor_0.5A2.36max,0,0.002504863786207674,Abnormal
tf_Gabor_0.5A2.36max,1,0.0005177915883255431,Abnormal
tf_Gabor_0.5A2.36mean,0,7.961892182200798e-08,Abnormal
tf_Gabor_0.5A2.36mean,1,1.1260783411803655e-05,Abnormal
tf_Gabor_0.5A2.36min,0,0.00398963119915411,Abnormal
tf_Gabor_0.5A2.36min,1,2.084608175428613e-06,Abnormal
tf_Gabor_0.5A2.36skew,0,0.0006812384153952426,Abnormal
tf_Gabor_0.5A2.36skew,1,0.024268920099772943,Abnormal
tf_Gabor_0.5A2.36std,0,1.5255421591547673e-10,Abnormal
tf_Gabor_0.5A2.36std,1,1.5741812767909356e-06,Abnormal
tf_LBP_kurtosis_R15_P36,0,2.9370819285662675e-11,Abnormal
tf_LBP_kurtosis_R15_P36,1,4.457055133392119e-10,Abnormal
tf_LBP_kurtosis_R3_P12,0,0.013318510934659649,Abnormal
tf_LBP_kurtosis_R3_P12,1,0.7650578737636924,Normal
tf_LBP_kurtosis_R8_P24,0,4.4879118329102216e-08,Abnormal
tf_LBP_kurtosis_R8_P24,1,1.2592322650686569e-08,Abnormal
tf_LBP_mean_R15_P36,0,0.00015993843787758254,Abnormal
tf_LBP_mean_R15_P36,1,0.9137585585360584,Normal
tf_LBP_mean_R3_P12,0,0.0033046221080303166,Abnormal
tf_LBP_mean_R3_P12,1,0.15204516038859917,Normal
tf_LBP_mean_R8_P24,0,3.078934551775929e-08,Abnormal
tf_LBP_mean_R8_P24,1,0.04429203806587057,Abnormal
tf_LBP_median_R15_P36,0,1.6541602971846698e-15,Abnormal
tf_LBP_median_R15_P36,1,1.0,Normal
tf_LBP_median_R3_P12,0,0.020324194695681492,Abnormal
tf_LBP_median_R3_P12,1,0.045110824407589505,Abnormal
tf_LBP_median_R8_P24,0,7.4615519568321e-15,Abnormal
tf_LBP_median_R8_P24,1,1.0,Normal
tf_LBP_peak_R15_P36,0,1.0,Normal
tf_LBP_peak_R15_P36,1,1.0,Normal
tf_LBP_peak_R3_P12,0,1.0,Normal
tf_LBP_peak_R3_P12,1,1.0,Normal
tf_LBP_peak_R8_P24,0,1.6541602971846698e-15,Abnormal
tf_LBP_peak_R8_P24,1,1.0,Normal
tf_LBP_skew_R15_P36,0,1.0592164984802201e-06,Abnormal
tf_LBP_skew_R15_P36,1,7.697519945660313e-07,Abnormal
tf_LBP_skew_R3_P12,0,0.016098245461186468,Abnormal
tf_LBP_skew_R3_P12,1,0.4516448049009787,Normal
tf_LBP_skew_R8_P24,0,0.00020687357364414827,Abnormal
tf_LBP_skew_R8_P24,1,8.530899235169358e-05,Abnormal
tf_LBP_std_R15_P36,0,0.0005486083372389003,Abnormal
tf_LBP_std_R15_P36,1,0.05733495703861806,Normal
tf_LBP_std_R3_P12,0,0.19813141575148857,Normal
tf_LBP_std_R3_P12,1,0.5014447725077729,Normal
tf_LBP_std_R8_P24,0,0.00443306365564412,Abnormal
tf_LBP_std_R8_P24,1,5.017816020505679e-05,Abnormal
tf_NGTDM_Busyness,0,2.0421695137416696e-13,Abnormal
tf_NGTDM_Busyness,1,6.216482741039427e-11,Abnormal
tf_NGTDM_Coarseness,0,5.922528359442757e-10,Abnormal
tf_NGTDM_Coarseness,1,5.519685161423971e-09,Abnormal
tf_NGTDM_Complexity,0,1.0696324077131132e-11,Abnormal
tf_NGTDM_Complexity,1,1.798177210650401e-10,Abnormal
tf_NGTDM_Contrast,0,2.166735312910436e-14,Abnormal
tf_NGTDM_Contrast,1,5.429676829733584e-13,Abnormal
tf_NGTDM_Strength,0,1.1019411076031235e-11,Abnormal
tf_NGTDM_Strength,1,3.1566844567069283e-10,Abnormal
